ID,Source_Form_ID,Target_Form_ID,Comment,Subset,Example_ID
025020-eci-eci-changeofstate,025020-eci-eci-changeofstate-s,025020-eci-eci-changeofstate-t,"""-y.ci-"" is a variant of ""-e.ci-""",30sources,025020-eci-eci-changeofstate
025022-konha-konha-habitual,025022-konha-konha-habitual-s,025022-konha-konha-habitual-t,Target Meaning also: ITERATIVE,30sources,025022-konha-konha-habitual
025023-emek-emek-completive,025023-emek-emek-completive-s,025023-emek-emek-completive-t,,othersources,025023-emek-emek-completive
025025-koiss-koiss-resultativeaspect,025025-koiss-koiss-resultativeaspect-s,025025-koiss-koiss-resultativeaspect-t,,30sources,025025-koiss-koiss-resultativeaspect
025050-eo-eo-durative,025050-eo-eo-durative-s,025050-eo-eo-durative-t,,30sources,025050-eo-eo-durative
025055-eka-eka-changeofstate,025055-eka-eka-changeofstate-s,025055-eka-eka-changeofstate-t,,30sources,025055-eka-eka-changeofstate
025058-enoh-enoh-completive,025058-enoh-enoh-completive-s,025058-enoh-enoh-completive-t,,30sources,025058-enoh-enoh-completive
025064-koancass-koancass-habitual,025064-koancass-koancass-habitual-s,025064-koancass-koancass-habitual-t,,30sources,025064-koancass-koancass-habitual
025003-kuy-ey-recipientcase,025003-kuy-ey-recipientcase-s,025003-kuy-ey-recipientcase-t,,othersources,025003-kuy-ey-recipientcase
025004-kuykyesi-kkeyse-agentcase,025004-kuykyesi-kkeyse-agentcase-s,025004-kuykyesi-kkeyse-agentcase-t,Phonetic Reduction: +3 measuring the nucleus kuy,othersources,025004-kuykyesi-kkeyse-agentcase
025007-ulkaciko-ulkaciko-instrumental,025007-ulkaciko-ulkaciko-instrumental-s,025007-ulkaciko-ulkaciko-instrumental-t,,30sources,025007-ulkaciko-ulkaciko-instrumental
025008-ulwihay-ulwihay-benefactive,025008-ulwihay-ulwihay-benefactive-s,025008-ulwihay-ulwihay-benefactive-t,,othersources,025008-ulwihay-ulwihay-benefactive
025012-uleyttalu-uleyttala-accordcaseconjunction,025012-uleyttalu-uleyttala-accordcaseconjunction-s,025012-uleyttalu-uleyttala-accordcaseconjunction-t,,30sources,025012-uleyttalu-uleyttala-accordcaseconjunction
025054-ecwu-ecwu-benefactive,025054-ecwu-ecwu-benefactive-s,025054-ecwu-ecwu-benefactive-t,,30sources,025054-ecwu-ecwu-benefactive
025063-potakua-pota-comparativecase,025063-potakua-pota-comparativecase-s,025063-potakua-pota-comparativecase-t,(taku-a > taka TRANSFERENTIVE),30sources,025063-potakua-pota-comparativecase
025068-tasiphi-tasiphi-similativeconjunction,025068-tasiphi-tasiphi-similativeconjunction-s,025068-tasiphi-tasiphi-similativeconjunction-t,,30sources,025068-tasiphi-tasiphi-similativeconjunction
025069-thyeylo-chelem-similativecase,025069-thyeylo-chelem-similativecase-s,025069-thyeylo-chelem-similativecase-t,,30sources,025069-thyeylo-chelem-similativecase
025016-keyha-keyha-causative,025016-keyha-keyha-causative-s,025016-keyha-keyha-causative-t,,30sources,025016-keyha-keyha-causative
025041-tahako-tako-complementizer,025041-tahako-tako-complementizer-s,025041-tahako-tako-complementizer-t,,30sources,025041-tahako-tako-complementizer
025042-lkes-lkes-complementizer,025042-lkes-lkes-complementizer-s,025042-lkes-lkes-complementizer-t,,30sources,025042-lkes-lkes-complementizer
025044-ntey-ntey-causeconjunction,025044-ntey-ntey-causeconjunction-s,025044-ntey-ntey-causeconjunction-t,,othersources,025044-ntey-ntey-causeconjunction
025047-ntwiey-ntwiey-after,025047-ntwiey-ntwiey-after-s,025047-ntwiey-ntwiey-after-t,,30sources,025047-ntwiey-ntwiey-after
025065-ekaciko-ekacko-causeconjunction,025065-ekaciko-ekacko-causeconjunction-s,025065-ekaciko-ekacko-causeconjunction-t,,30sources,025065-ekaciko-ekacko-causeconjunction
025051-i-i-copula,025051-i-i-copula-s,025051-i-i-copula-t,,30sources,025051-i-i-copula
025035-ltusha-ltusha-evidentialinferential,025035-ltusha-ltusha-evidentialinferential-s,025035-ltusha-ltusha-evidentialinferential-t,,othersources,025035-ltusha-ltusha-evidentialinferential
025067-nakkasiph-nakkasiph-evidentialinferential,025067-nakkasiph-nakkasiph-evidentialinferential-s,025067-nakkasiph-nakkasiph-evidentialinferential-t,,30sources,025067-nakkasiph-nakkasiph-evidentialinferential
025046-ketun-ketun-topic,025046-ketun-ketun-topic-s,025046-ketun-ketun-topic-t,,othersources,025046-ketun-ketun-topic
025001-meli-mali-classifier,025001-meli-mali-classifier-s,025001-meli-mali-classifier-t,,30sources,025001-meli-mali-classifier
025056-son-son-classifier,025056-son-son-classifier-s,025056-son-son-classifier-t,,30sources,025056-son-son-classifier
025011-nama-inama-dissatisfaction,025011-nama-inama-dissatisfaction-s,025011-nama-inama-dissatisfaction-t,"""-(i)nama"" is a concessive particle signaling dissatisfaction.",othersources,025011-nama-inama-dissatisfaction
025024-kosiph-kosiph-desiderativemood,025024-kosiph-kosiph-desiderativemood-s,025024-kosiph-kosiph-desiderativemood-t,,30sources,025024-kosiph-kosiph-desiderativemood
025027-myenantoy-myenantoy-prohibitive,025027-myenantoy-myenantoy-prohibitive-s,025027-myenantoy-myenantoy-prohibitive-t,,othersources,025027-myenantoy-myenantoy-prohibitive
025028-nunpepi-nunpepi-dnecessity,025028-nunpepi-nunpepi-dnecessity-s,025028-nunpepi-nunpepi-dnecessity-t,,othersources,025028-nunpepi-nunpepi-dnecessity
025029-myentoy-myentoy-hortative,025029-myentoy-myentoy-hortative-s,025029-myentoy-myentoy-hortative-t,"""-umyen"" is a variant of ""-myen""",othersources,025029-myentoy-myentoy-hortative
025030-lswutoiss-lswutoiss-pipossibility,025030-lswutoiss-lswutoiss-pipossibility-s,025030-lswutoiss-lswutoiss-pipossibility-t,,othersources,025030-lswutoiss-lswutoiss-pipossibility
025031-thullimeps-thullimeps-certaintyepistemicmodality,025031-thullimeps-thullimeps-certaintyepistemicmodality-s,025031-thullimeps-thullimeps-certaintyepistemicmodality-t,,othersources,025031-thullimeps-thullimeps-certaintyepistemicmodality
025032-lthei-lthey-bnecessity,025032-lthei-lthey-bnecessity-s,025032-lthei-lthey-bnecessity-t,,othersources,025032-lthei-lthey-bnecessity
025033-lkkapo-lkkapo-bnecessity,025033-lkkapo-lkkapo-bnecessity-s,025033-lkkapo-lkkapo-bnecessity-t,,30sources,025033-lkkapo-lkkapo-bnecessity
025034-lyekoha-lyekoha-bnecessity,025034-lyekoha-lyekoha-bnecessity-s,025034-lyekoha-lyekoha-bnecessity-t,"""-y"" is a variant of ""-e""",30sources,025034-lyekoha-lyekoha-bnecessity
025052-eyaha-eyaha-dnecessity,025052-eyaha-eyaha-dnecessity-s,025052-eyaha-eyaha-dnecessity-t,,30sources,025052-eyaha-eyaha-dnecessity
025066-lkesiya-lkey-promissive,025066-lkesiya-lkey-promissive-s,025066-lkesiya-lkey-promissive-t,,30sources,025066-lkesiya-lkey-promissive
025061-han-han-some,025061-han-han-some-s,025061-han-han-some-t,,30sources,025061-han-han-some
025005-kutuy-kutuy-honorific,025005-kutuy-kutuy-honorific-s,025005-kutuy-kutuy-honorific-t,"""kutay"" is a modern Korean form of ""kutuy"".",othersources,025005-kutuy-kutuy-honorific
025009-cocha-cocha-counterexpectation,025009-cocha-cocha-counterexpectation-s,025009-cocha-cocha-counterexpectation-t,,30sources,025009-cocha-cocha-counterexpectation
025010-mace-mace-counterexpectation,025010-mace-mace-counterexpectation-s,025010-mace-mace-counterexpectation-t,,30sources,025010-mace-mace-counterexpectation
025014-sosin-sosin-honorific,025014-sosin-sosin-honorific-s,025014-sosin-sosin-honorific-t,only when speaking to the monarch,othersources,025014-sosin-sosin-honorific
025015-imca-imca-honorific,025015-imca-imca-honorific-s,025015-imca-imca-honorific-t,only when speaking to the spouse,othersources,025015-imca-imca-honorific
025038-lkkapoa-lkkapwa-preventive,025038-lkkapoa-lkkapwa-preventive-s,025038-lkkapoa-lkkapwa-preventive-t,,30sources,025038-lkkapoa-lkkapwa-preventive
