ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Source_comment
udi,Udi,Eurasia,40.9,47.7236,udii1243,udi,,Timur Maisak (Lezgic [Northeast Caucasian])
uppersorbian,Upper Sorbian,Eurasia,51.2403,14.4098,uppe1395,hsb,,Björn Wiemer (Slavic [Indo-European])
veps,Veps,Eurasia,60.3353,34.7865,veps1250,vep,,Juha Janhunen (Uralic)
vincentiancreole,Vincentian Creole,North America,13.2436,-61.1963,vinc1243,svc,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
wakhi,Wakhi,Eurasia,37.1768,73.9777,wakh1245,wbl,,Agnes Korn (Iranian [Indo-European])
warrwa,Warrwa,Australia,-17.0965,123.971,warr1258,wwr,,"William B. McGregor (Nyulnyulan [non-Pama-Nyungan, Australian])"
xufipamir,Xufi (Pamir),,,,shug1253,,,Agnes Korn (Iranian [Indo-European])
yaghnobi,Yaghnobi,Eurasia,39.1486,69.2422,yagn1238,yai,,Agnes Korn (Iranian [Indo-European])
yaqui,Yaqui,North America,29.9446,-110.681,yaqu1251,yaq,,Zarina Estrada-Fernández (Southern Uto-Aztecan)
yawuru,Yawuru,Australia,-18.004,122.693,yawu1244,ywr,,"William B. McGregor (Nyulnyulan [non-Pama-Nyungan, Australian])"
yucatec,Yucatec,North America,18.7757,-88.9567,yuca1254,yua,,Christian Lehmann (Yucatecan [Mayan])
zazaki,Zazaki,Eurasia,,,zaza1246,zza,,Agnes Korn (Iranian [Indo-European])
