ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
ecuadorianquichua-verbal-categories-other,ecuadorianquichua,verbal-categories-other,purpose of motion (associated motion),,-gri-,
emai-conjunction,emai,conjunction,('correlative') conjunction,,khì,
emai-aspect,emai,aspect,against' ('momentary impact'),,gbe,
emai-case-adposition,emai,case-adposition,"(on the) bottom of' / (on)to/against' ('affixed attachment') / to the end/top' ('terminal achievement'; postverbal) / DATIVE/ALLATIVE marker/prep. / in, into' ('inclusive attachment')",,òtɔ̀ì / baa / so / ye / ze,
emai-identity,emai,identity,'same',,ɔ̀kpá,
emai-information-structure-devices,emai,information-structure-devices,exhaustive (discourse) particle ('only'),,ɔ̀kpá,
emai-modality,emai,modality,carefully / deliberately',,degbè / dabɔ̀,
emai-negative,emai,negative,"try, feign, pretend' ('cancel event occurence')",,fee ghoo,
emai-noun-classification,emai,noun-classification,MALE / FEMALE,,ɔ́mɔ̀hè / òkpòsò,
emai-other,emai,other,against' ('oblique contact') / onto' ('suspended attachment') / emphatic subject REFLEXIVE / 'up' / inside',,gɔn / khuan / dobɔ̀ / úhùnmì / ɛ́kɛ́ìn,
emai-pronoun-proverb,emai,pronoun-proverb,RECIPROCAL PRONOUN / Pro-Verb / INDEFINITE Pro,,égbè / u / émì,
emai-quantification,emai,quantification,a lot' ('absolute quantitative intensification') / 'too much' ('excessive quantitive achievement'),,zemi / gbe,
emai-valency-change,emai,valency-change,REFLEXIVE PRONOUN / CAUSATIVE,,égbè / rɛ,
emai-verbal-categories-other,emai,verbal-categories-other,in vain' (deactivate event fulfilment: adverbial),,ba kun,
emai-verbal-deixis,emai,verbal-deixis,VENITIVE,,re,
emai-word-class-change,emai,word-class-change,together' ('COLLECTIVE'),,gba,
estonian-case-adposition,estonian,case-adposition,COMITATIVE,,=ga,
estonian-evidential,estonian,evidential,"""oblique mood"" (EVIDENTIAL)",,-va(-t),
even-modality,even,modality,(distant) IMPERATIVE / DESIDERATIVE,,-dA / -sči-,
even-aspect,even,aspect,PROGRESSIVE,,-d'-,
even-case-adposition,even,case-adposition,DATIVE-LOCATIVE / COMITATIVE ('by the side of') / DESIGNATIVE Case / LOCATIVE,,-du / -gi.li / -gA / -lA,
even-negative,even,negative,MODALITY marker (‚not want'),,ba-,
even-noun-classification,even,noun-classification,numeral CLASSIFIER,,-ndu,
even-pronoun-proverb,even,pronoun-proverb,3SG PRONOUN,,noŋan,
even-tense,even,tense,FUTURE,,-d'i-,
even-valency-change,even,valency-change,PASSIVE voice / CAUSATIVE,,"-w-, -m- / -wkAn",
even-verbal-deixis,even,verbal-deixis,VENTIVE,,-ne-,
even-number,even,number,PLURAL,,-l,
even-agreement,even,agreement,POSSESSIVE AGREEMENT (here: 1SG) / (Verbal) Subject AGREEMENT (here: 1SG),,"-w,-u,-bu / -m",
even-verbal-categories-other,even,verbal-categories-other,PREVENTIVE,,-k(A),
evenki-aspect,evenki,aspect,ATTENUATIVE,,-soo-,
finnish-modality,finnish,modality,POTENTIALIS / IMPERATIVE (2SG),,lie- / < -' >,
finnish-case-adposition,finnish,case-adposition,postposition 'until' / INESSIVE case / COMPARATIVE,,saa(-kka) / -ssA (?) / -mpa,
finnish-definiteness,finnish,definiteness,INDEFINITE article,,yksi,
finnish-other,finnish,other,INTERROGATION,,=kO,
finnish-conjunction,finnish,conjunction,CONDITIONAL mood,,-i,
finnish-word-class-change,finnish,word-class-change,VERBALIZER / INFINITIVE marker / Deriving Adj from Verbals,,"-ta-, -t.ta- / -a, -ä / -ke-",
french-modality,french,modality,HORTATIVE (invariable) (1st person plural),,allons,
french-pronoun-proverb,french,pronoun-proverb,INDEFINITE PRONOUN,,on,
garhwali-case-adposition,garhwali,case-adposition,ERGATIVE case marker / ABLATIVE,,"le/-l / bāt̩i, bāt̩",
garhwali-verbal-categories-other,garhwali,verbal-categories-other,QUOTATIVE marker,,bal,
german-word-class-change,german,word-class-change,INFINITIVE marker,,zu,
german-conjunction,german,conjunction,COMPLEMENTIZER (with finite clauses) / adverbial clause marker / PURPOSE preposition,,dass / wo / zu,
german-definiteness,german,definiteness,DEFINITE ARTICLE / INDEFINITE article (here: masculine),,der / ein,
german-relativization,german,relativization,RELATIVIZER (RELATIVE PRONOUN) / RELATIVIZER (RELATIVE PRONOUN),,der / welcher,
german-modality,german,modality,SUBJUNCTIVE (periphrastic SUBJUNCTIVE) / MODAL particle (implying shared knowledge),,würde / doch,
german-other,german,other,'succeed' / EXCLAMATION,,kriegen / Mann,
german-pronoun-proverb,german,pronoun-proverb,INDEFINITE PRONOUN / INDEFINITE PRONOUN (-NOM.SG.M) / 'you' (PERSONAL PRONOUN 2SG/PL HONORIFIC),,man / ein(-er) / Sie,
german-tense,german,tense,PAST / FUTUTRE aux,,(ge-...-t) haben / werden,
german-valency-change,german,valency-change,PASSIVE aux / PASSIVE aux (recipient passive) / ANTICAUSATIVE,,(ge-...-t) werden / bekommen / sich,
german-possession,german,possession,attributive POSSESSION (preposition),,von,
